"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"18f.gov","18f.gov","https://18f.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"2020census.gov","2020census.gov","http://2020census.gov","Department of Commerce","dotgov","No","No","Yes","Yes","No","No","No","No","No"
"9-11commission.gov","9-11commission.gov","https://9-11commission.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"911.gov","911.gov","https://www.911.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"911commission.gov","911commission.gov","https://911commission.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abandonedmines.gov","abandonedmines.gov","https://abandonedmines.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abilityone.gov","abilityone.gov","https://abilityone.gov","United States AbilityOne","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abmc.gov","abmc.gov","http://abmc.gov","American Battle Monuments Commission","dotgov","No","No","Yes","Yes","No","No","No","No","Yes"
"access-board.gov","access-board.gov","https://www.access-board.gov","United States Access Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"accessibility.gov","accessibility.gov","http://accessibility.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acf.gov","acf.gov","http://acf.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","No"
"achp.gov","achp.gov","https://achp.gov","Advisory Council on Historic Preservation","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"acl.gov","acl.gov","https://acl.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acquisition.gov","acquisition.gov","https://acquisition.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acus.gov","acus.gov","https://www.acus.gov","Administrative Conference of the United States","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acwi.gov","acwi.gov","https://acwi.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ada.gov","ada.gov","https://www.ada.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"adf.gov","adf.gov","http://adf.gov","United States African Development Foundation","dotgov","No","No","No","","","","","","No"
"adlnet.gov","adlnet.gov","https://adlnet.gov","Department of Defense","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
